Gett	54.246.93.87	Amazon.com, Inc.	AS16509
Gett	54.247.92.69	Amazon.com, Inc.	AS16509
Gett	52.50.25.12 	Amazon.com, Inc.	AS16509
Gett	52.214.179.146	Amazon.com, Inc.	AS16509
Gett	54.228.196.81	Amazon.com, Inc.	AS16509
Gett	52.50.21.80	Amazon.com, Inc.	AS16509
Gett	52.210.180.25	Amazon.com, Inc.	AS16509
Gett	104.20.26.12	CloudFlare, Inc	AS13335
Gett	104.20.28.45	CloudFlare, Inc	AS13335
2412 + Командир	89.111.180.51		AS41126
2412 + Командир	195.208.1.135		AS25535			
CityMobil	178.248.236.6		AS197068
Мостакси	194.84.120.113		AS2854
Мостакси	90.156.152.100		AS25532
Формула такси	88.135.15.242		AS35129
Формула такси	88.135.15.247		AS35129
Формула такси	88.135.15.250		AS35129
Формула такси	88.135.15.250		AS35129
Яндекс.Такси	5.45.217.7		
Яндекс.Такси	213.180.204.218		
